Key,English,Translation,Notes
smutmods.info.controls.noPages,This scheme has no pages.,This chart has no pages.,
smutmods.info.controls.noSchemes,"No control schemes found.\n\nExpected:\nStreamingAssets/Controls/<SchemeId>/manifest.json\n\nNotes:\n- Folders beginning with '_' are ignored.\n- On Quest/Android, ensure StreamingAssets/Controls/index.json exists.","No control charts found.\n\nExpected:\nStreamingAssets/Controls/<SchemeId>/manifest.json\n\nNotes:\n- Folders beginnin' with '*' be ignored.\n- On Quest/Android, be sure StreamingAssets/Controls/index.json exists.",
smutmods.info.controls.none,(none),(none),
smutmods.info.controls.nullManifest,Manifest parsed null:\n{0},Manifest came up empty:\n{0},
smutmods.info.controls.scheme,Scheme,Chart,
smutmods.info.controls.title,Controls,Helm,
smutmods.info.controls.untitled,(Untitled),(Untitled),
smutmods.info.credits.emptyCategory,No entries in this category.,No names in this ledger.,
smutmods.info.credits.loadFailed,Could not load:\n{0}\n\n{1},Couldn't haul aboard:\n{0}\n\n{1},
smutmods.info.credits.loading,Loading credits...,Countin' the crew...,
smutmods.info.credits.navigation,Credits,Crew Ledger,
smutmods.info.credits.noCategories,No categories found in credits.csv.,No categories found in credits.csv.,
smutmods.info.credits.noRecords,No credits loaded (credits.csv contained no valid rows).,No crew ledger loaded (credits.csv held no valid rows).,
smutmods.info.credits.parseFailed,Could not parse credits:\n{0},Couldn't read the crew ledger:\n{0},
smutmods.info.credits.title,Credits,Crew Ledger,
smutmods.info.debug.build.platform,Platform: {0},Vessel: {0},
smutmods.info.debug.build.title,Build Information,Build Information,
smutmods.info.debug.build.type,Build Type: {0},Build Type: {0},
smutmods.info.debug.build.version,Version: {0},Version: {0},
smutmods.info.debug.console.exportLogs,Export Logs,Export Ship's Log,
smutmods.info.debug.console.notImplemented,Console not implemented yet.,Console ain't ready yet.,
smutmods.info.debug.console.popOut,Pop-out Console,Pop-out Console,
smutmods.info.debug.console.title,Console,Ship's Log,
smutmods.info.debug.developer.mode,Developer Mode,Shipwright Mode,
smutmods.info.debug.developer.modeHelp,Saved toggle for developer-facing runtime behavior.,Saved toggle fer shipwright runtime behavior.,
smutmods.info.debug.developer.title,Developer,Shipwright,
smutmods.info.debug.navigation,Debug,Ship's Log,
smutmods.info.debug.performance.fps,FPS: {0},FPS: {0},
smutmods.info.debug.performance.frameTime,Frame Time: {0} ms,Frame Time: {0} ms,
smutmods.info.debug.performance.title,Performance,Performance,
smutmods.info.debug.savedData.clear,Clear All Saved Data,Scuttle All Saved Data,
smutmods.info.debug.savedData.title,Saved Data,Ship's Records,
smutmods.info.debug.savedData.warning,Clears user settings back to defaults and resets tutorial progress.,Restores all settin's to default an' resets tutorial progress.,
smutmods.info.legal.emptyFile,(File is empty),(Scroll be empty),
smutmods.info.legal.loadFailed,Could not load:\n{0}\n\n{1},Couldn't haul aboard:\n{0}\n\n{1},
smutmods.info.legal.loadingFile,Loading: {0},Haulin': {0},
smutmods.info.legal.navigation,Legal & Policy,Code o' Conduct,
smutmods.info.legal.tabs.agePolicy,Age Policy,Age Code,
smutmods.info.legal.tabs.licenses,Licenses,Letters o' Marque,
smutmods.info.legal.tabs.termsOfService,TOS,Articles o' Service,
smutmods.info.legal.title,Legal & Policy,Code o' Conduct,
smutmods.info.modding.navigation,Modding Information,Moddin' Information,
smutmods.info.modding.title,Modding Information,Moddin' Information,
smutmods.info.panel.noPages,No information pages are available.,No pages be available.,
smutmods.info.panel.pageLoadFailed,Page failed to load: {0},Page failed t' load: {0},
smutmods.info.panel.pageReturnedNull,Page returned null UI: {0},Page returned empty UI: {0},
smutmods.info.panel.section,Section,Section,
smutmods.info.panel.title,Info,Logbook,
smutmods.info.support.help,"If you encounter issues, bugs, or have feature requests,\nplease use the links below.\n\nWhen reporting issues, include your version number and platform.","If ye find bugs, troubles, or have ideas,\nuse the links below.\n\nWhen reportin' troubles, include yer version an' vessel.",
smutmods.info.support.linkLoadFailed,Failed to load links: {0},Failed t' load links: {0},
smutmods.info.support.links.bugReport,Bug Report,Report a Blunder,
smutmods.info.support.links.discord,Discord,Discord,
smutmods.info.support.links.patreon,Patreon,Patreon,
smutmods.info.support.links.twitter,Twitter,Twitter,
smutmods.info.support.loadingLinks,Loading links...,Haulin' links...,
smutmods.info.support.navigation,Support / Community,Crew & Support,
smutmods.info.support.title,Support & Community,Crew & Support,
smutmods.info.support.versionSummary,Version: {0} | Platform: {1} | Build: {2},Version: {0} | Vessel: {1} | Build: {2},
smutmods.loading.message.default,Loading...,Haulin' Cargo...,
smutmods.loading.phase.failed,Load failed,Shipwrecked!,
smutmods.loading.phase.generalSafetyBuffer,Stabilizing,Hold Fast...,
smutmods.loading.phase.gravitySettleBuffer,Finalizing,Dockin' the Ship,
smutmods.loading.phase.hidingPresentation,Done,Anchors Aweigh!,
smutmods.loading.phase.loadingLevel,Loading level,Sailin' to New Waters,
smutmods.loading.phase.waitingForReadiness,Preparing environment,Readyin' the Deck,
smutmods.tabs.contentBuilderMissing,No content is available for this tab.,No cargo be available fer this tab.,
