Key,English,Translation,Notes
smutlabs.content_wizard.icon.upload_failed_title,Upload Failed,Upload Failed,SmutLabs Content Wizard
smutlabs.content_wizard.icon.wrong_size_message,Icon must be exactly {0}x{0}.\n\nSelected image is {1}x{2}.,Icon must be exactly {0}x{0}.\n\nSelected image is {1}x{2}.,SmutLabs Content Wizard
smutlabs.content_wizard.icon.wrong_size_title,Wrong Icon Size,Wrong Icon Size,SmutLabs Content Wizard
smutlabs.content_wizard.identity.heading,Identity (Locked After Creation),Identity (Locked After Creation),SmutLabs Content Wizard
smutlabs.content_wizard.metadata.creator_link,Creator Link (optional),Creator Link (optional),SmutLabs Content Wizard
smutlabs.content_wizard.metadata.creator_name,Creator Name (optional),Creator Name (optional),SmutLabs Content Wizard
smutlabs.content_wizard.metadata.description,Description,Description,SmutLabs Content Wizard
smutlabs.content_wizard.metadata.developer_content,Mark this content as Developer Content,Mark this content as Developer Content,SmutLabs Content Wizard
smutlabs.content_wizard.metadata.developer_content_help,"Developer Content is hidden in-game unless Developer Mode is enabled. This is intended for test rigs, internal props, and mod-development utilities.","Developer Content is hidden in-game unless Developer Mode is enabled. This is intended for test rigs, internal props, and mod-development utilities.",SmutLabs Content Wizard
smutlabs.content_wizard.metadata.display_name,Display Name,Display Name,SmutLabs Content Wizard
smutlabs.content_wizard.metadata.heading,Metadata,Metadata,SmutLabs Content Wizard
smutlabs.content_wizard.metadata.schema_version,Schema Version,Schema Version,SmutLabs Content Wizard
smutlabs.content_wizard.mod_id,Mod ID,Mod ID,SmutLabs Content Wizard
smutlabs.content_wizard.no_active,"Select an existing CatalogModProject asset, or click ""Create New..."" to start a new mod.\n\nThis asset is the source-of-truth for mod identity, versioning, icon, and export settings.","Select an existing CatalogModProject asset, or click ""Create New..."" to start a new mod.\n\nThis asset is the source-of-truth for mod identity, versioning, icon, and export settings.",SmutLabs Content Wizard
smutlabs.content_wizard.ping,Ping,Ping,SmutLabs Content Wizard
smutlabs.content_wizard.platforms.android,Build Android,Build Android,SmutLabs Content Wizard
smutlabs.content_wizard.platforms.heading,Platforms,Platforms,SmutLabs Content Wizard
smutlabs.content_wizard.platforms.quest_compatible,Quest Compatible,Quest Compatible,SmutLabs Content Wizard
smutlabs.content_wizard.platforms.windows,Build Windows,Build Windows,SmutLabs Content Wizard
smutlabs.content_wizard.reveal,Reveal,Reveal,SmutLabs Content Wizard
smutlabs.content_wizard.validation.all_passed,All checks passed.,All checks passed.,SmutLabs Content Wizard
smutlabs.content_wizard.validation.blocked,Export is blocked until all errors are resolved.,Export is blocked until all errors are resolved.,SmutLabs Content Wizard
smutlabs.content_wizard.validation.heading,Validation,Validation,SmutLabs Content Wizard
smutlabs.content_wizard.version.changed,Version set to {0}.{1}.{2},Version set to {0}.{1}.{2},SmutLabs Content Wizard
smutlabs.content_wizard.version.heading,Version (Major.Minor.Patch),Version (Major.Minor.Patch),SmutLabs Content Wizard
smutlabs.content_wizard.version.help,Major resets Minor and Patch to 0. Minor resets Patch to 0. Patch increments only. No manual typing.,Major resets Minor and Patch to 0. Minor resets Patch to 0. Patch increments only. No manual typing.,SmutLabs Content Wizard
smutlabs.content_wizard.version.increment_major,Increment Major,Increment Major,SmutLabs Content Wizard
smutlabs.content_wizard.version.increment_minor,Increment Minor,Increment Minor,SmutLabs Content Wizard
smutlabs.content_wizard.version.increment_patch,Increment Patch,Increment Patch,SmutLabs Content Wizard
smutlabs.content_wizard.version.major_dialog_message,Incrementing MAJOR indicates a breaking change.\n\nContinue?,Incrementing MAJOR indicates a breaking change.\n\nContinue?,SmutLabs Content Wizard
smutlabs.content_wizard.version.major_dialog_title,Increment Major?,Increment Major?,SmutLabs Content Wizard
smutlabs.content_wizard.version.undo,Undo,Undo,SmutLabs Content Wizard
smutlabs.content_wizard.window_title,SmutLabs Content Wizard,SmutLabs Content Wizard,SmutLabs Content Wizard
smutshared.common.cancel,Cancel,Cancel,SmutLabs Content Wizard
smutshared.common.create,Create,Create,SmutLabs Content Wizard
smutshared.common.ok,OK,OK,SmutLabs Content Wizard
